"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\App.js", "JavaScript", 147, 0, 0, 0, 29, 24, 200
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\api.js", "JavaScript", 5, 0, 0, 0, 0, 3, 8
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\Logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\illustrations\pattern-tree.svg", "XML", 0, 0, 0, 20, 0, 0, 20
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\logos\gray-logos\logo-coinbase.svg", "XML", 0, 0, 0, 16, 0, 0, 16
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\logos\gray-logos\logo-nasa.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\logos\gray-logos\logo-netflix.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\logos\gray-logos\logo-pinterest.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\logos\gray-logos\logo-spotify.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\logos\gray-logos\logo-vodafone.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\bootstrap.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\creative-tim.svg", "XML", 0, 0, 0, 7, 0, 0, 7
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\devto.svg", "XML", 0, 0, 0, 9, 0, 0, 9
