"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_bottom_navigation_bar.dart", "Dart", 336, 2, 19, 357
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_bottom_navigation_bar_item.dart", "Dart", 36, 0, 5, 41
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_button.dart", "Dart", 320, 2, 28, 350
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_card.dart", "Dart", 136, 0, 8, 144
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_container.dart", "Dart", 194, 0, 10, 204
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_dashed_divider.dart", "Dart", 35, 0, 4, 39
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_dotted_line.dart", "Dart", 188, 1, 27, 216
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_drop_down_option.dart", "Dart", 65, 0, 3, 68
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_drop_down_or_input.dart", "Dart", 81, 0, 6, 87
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_image_attachments.dart", "Dart", 81, 3, 7, 91
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_on_boarding.dart", "Dart", 120, 0, 16, 136
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_page_dragger.dart", "Dart", 130, 1, 31, 162
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_page_indicator.dart", "Dart", 165, 1, 20, 186
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_page_reveal.dart", "Dart", 32, 0, 12, 44
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\widgets\my_pages.dart", "Dart", 32, 0, 6, 38
